id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,"ENCYCLOPEDIA OF CRYPTOGRAPHY AND SECURITY, 2 VOLUMES SET,",Sushil Jajodia Henk C.A. van Tilborg,CSE,2020,2ND,9781071604021,SPRINGER,1,,Rs. 12995,https://www.springer.com/in/book/9781441959058#otherversion=9781441959072,
,"ENCYCLOPEDIA OF PARALLEL COMPUTING, 4 VOLUMES SET", David Padua,CSE,2020,,9781071604458,SPRINGER,1,,Rs. 19995,https://www.springer.com/in/book/9780387097657#otherversion=9780387098449,
,Engineering Graphics Essentials With Auto Cad 2018 Instruction,Kirstie Plantenberg,CSE,2018,,9781630571184,Sdc Publication,1,BP 66.99,,https://www.routledge.com/Engineering-Graphics-Essentials-with-AutoCAD-2018-Instruction/Plantenberg/p/book/9781630571184,
,Enterprise Modeling-Facilitating The Process And The People,Stirna,CSE,2018,,9783319948560,Springer Nature,1,EUR 59.99,,https://www.springer.com/in/book/9783319948560,
,"ESSENTIAL COMPUTER GRAPHICS TECHNIQUES FOR MODELING, ANIMATING, AND RENDERING BIOMOLECULES AND CELLS : A GUIDE FOR THE SCIENTIST AND ARTIST",Giorgio Luciano,CSE,2019,1ST,9781498799218,T&F/CRC PRESS,1,BP 74.99,,https://www.routledge.com/Essential-Computer-Graphics-Techniques-for-Modeling-Animating-and-Rendering/Luciano/p/book/9781498799218,
,Essential Mathematics For Games And Interactive Applications,James M. Van Verth Et.Al,CSE,2020,,9780367372958,A K Peters Ltd.,1,,Rs. 4995,https://www.routledge.com/Essential-Mathematics-for-Games-and-Interactive-Applications/Verth-Bishop/p/book/9781482250923,
,EXPLORATORY DATA ANALYSIS USING R,Ronald K. Pearson,CSE,2018,,9781498730235,T&F/CRC PRESS,1,BP 56.99,,https://www.routledge.com/Exploratory-Data-Analysis-Using-R/Pearson/p/book/9781498730235,
,FIRST COURSE IN INFORMATION THEORY,RAYMOND W. YEUNG,CSE,2019,,9781493991037,SPRINGER INDIA,1,,Rs. 795,https://www.springer.com/in/book/9780306467912,
,FIRST COURSE IN REAL ANALYSIS,STERLING K. BERBERIAN,CSE,2019,,9781493991044,SPRINGER,1,,Rs. 595,https://www.springer.com/in/book/9780387942179,
,Fluid Simulation For Computer Graphics,Bridson Robert,CSE,2020,2ND,9780367364199,A K Peters,1,,Rs. 2995,https://www.routledge.com/Fluid-Simulation-for-Computer-Graphics/Bridson/p/book/9781482232837,
,Foundations Of Soteware Engineering,Ashfaque Ahmed Et.Al,CSE,2020,,9780367372538,Auerbach Publications,1,,Rs. 4395,https://www.routledge.com/Foundations-of-Software-Engineering/Ahmed-Prasad/p/book/9781498737593,
,Fundamental Statistical Inference: A Computational Approach,Paolella,CSE,2018,,9781119417866,Wiley-Blackwell,1,US$ 115,,https://www.wiley.com/en-in/Fundamental+Statistical+Inference%3A+A+Computational+Approach-p-9781119417866,
,FUNDAMENTALS OF GRAPHICS USING MATLAB,PAREKH,CSE,2020,1ST,9780367184827,T&F/CRC PRESS,1,BP 74.99,,https://www.routledge.com/Fundamentals-of-Graphics-Using-MATLAB/Parekh/p/book/9780367184827,
,FUNDAMENTALS OF SIGNAL PROCESSING IN METRIC SPACES WITH LATTICE PROPERTIES: ALGEBRAIC APPROACH,Andrey Popoff,CSE,2018,,9781138099388,T&F/CRC PRESS,1,BP 140,,https://www.routledge.com/Fundamentals-of-Signal-Processing-in-Metric-Spaces-with-Lattice-Properties/Popoff/p/book/9781138099388,
,Fuzzy Image Processing And Applications With Matlab,Tamalika Chaira,CSE,2018,,9781138627833,Crc Press,1,,Rs. 2495,https://www.routledge.com/Fuzzy-Image-Processing-and-Applications-with-MATLAB/Chaira-Ray/p/book/9781439807088,
,Fuzzy Systems In Bioinformatics And Computational Biology,Yaochu Jin,CSE,2020,,9783662601822,Springer Nature (Sie),1,,Rs. 3995,https://www.springer.com/in/book/9783540899679,
,Game Audio Implementation: A Practical Guide Using The Unreal Engine,Stevens Richard Et.Al,CSE,2020,,9780367372491,Routledge,1,,Rs. 2995,https://www.routledge.com/Game-Audio-Implementation-A-Practical-Guide-Using-the-Unreal-Engine/Stevens-Raybould/p/book/9781138777248,
,Game Development And Simulation With Unreal Technology,Tavakkoli Alireza,CSE,2020,,9780367372750,A K Peters Ltd.,1,,Rs. 4995,https://www.routledge.com/Game-Development-and-Simulation-with-Unreal-Technology-Second-Edition/Tavakkoli/p/book/9781138092198,
,Game Theory For Networking Applications,Song,CSE,2019,,9783319930572,Springer Nature,1,EUR 89.99,,https://www.springer.com/in/book/9783319930572,
