id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Women and the Ideology of Political Exclusion: From Classical Antiquity to the Modern Era,Tsakiropoulou-Summers Tatiana ,HSS,2021,1,9780367492458,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367492458,
,Women Do Genre in Film and Television: ,Harrod Mary ,HSS,2021,1,9780367889845,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367889845,
,Women in Audio: ,GASTON-BIRD,HSS,2021,1,9781138315990,Focal Press,4,42.99,4475.259,http://www.routledge.com/9781138315990,
,Women in Business Families: From Past to Present,Heinonen Jarna ,HSS,2021,1,9780367734923,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367734923,
,"Women in Europe between the Wars: Politics, Culture and Society",KIMYONGUR,HSS,2021,1,9781138357990,Routledge,4,36.99,3850.659,http://www.routledge.com/9781138357990,
,"Women in Service in Early Modern England: Essential Works for the Study of Early Modern Women: Series III, Part Three, Volume 5",DALPORTO,HSS,2021,1,9781138358003,Routledge,4,36.99,3850.659,http://www.routledge.com/9781138358003,
,"Women in the Studio: Creativity, Control and Gender in Popular Music Sound Production",WOLFE,HSS,2021,1,9780367774912,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367774912,
,"Women on the Move: Body, Memory and Femininity in Present-Day Transnational Diasporic Writing",Pellicer-Ortín Silvia ,HSS,2021,1,9780367666033,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367666033,
,Women Soldiers and Citizenship in Israel: Gendered Encounters with the State,LOMSKY-FEDER,HSS,2021,1,9780367264772,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367264772,
,"Women, Inequality and Media Work: ",O'BRIEN,HSS,2021,1,9781138352315,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138352315,
,"Women, Music, Culture: An Introduction",DUNBAR,HSS,2021,3,9780367138127,Routledge,4,52.99,5516.259,http://www.routledge.com/9780367138127,
,"Women, Religion and Leadership: Female Saints as Unexpected Leaders",Denison Barbara,HSS,2021,1,9780367890124,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367890124,
